O/F,LOX/LH2,LOX/RP-1,LOX/CH4,LOX/C2H6,LOX/ETHANOL,LOX/MMH,LOX/UDMH,LOX/N2H4,LOX/NH3,LOX/JP10,GOX/LH2,GOX/RP-1,GOX/CH4,GOX/C2H6,GOX/ETHANOL,GOX/MMH,GOX/UDMH,GOX/N2H4,GOX/NH3,GOX/JP10,N2O/LH2,N2O/GH2,N2O/RP-1,N2O/CH4,N2O/C2H6,N2O/ETHANOL,N2O/MMH,N2O/UDMH,N2O/N2H4,N2O/NH3,N2O/JP10,N2O4/LH2,N2O4/GH2,N2O4/RP-1,N2O4/CH4,N2O4/C2H6,N2O4/ETHANOL,N2O4/MMH,N2O4/UDMH,N2O4/N2H4,N2O4/NH3,N2O4/JP10,H2O2/LH2,H2O2/GH2,H2O2/RP-1,H2O2/CH4,H2O2/C2H6,H2O2/ETHANOL,H2O2/MMH,H2O2/UDMH,H2O2/N2H4,H2O2/NH3,H2O2/JP10,F2/LH2,F2/RP-1,F2/CH4,F2/C2H6,F2/ETHANOL,F2/MMH,F2/UDMH,F2/N2H4,F2/NH3,F2/JP10,OF2/RP-1,OF2/CH4,OF2/C2H6,OF2/ETHANOL,OF2/MMH,OF2/UDMH,OF2/N2H4,OF2/NH3,OF2/JP10,IRFNA/LH2,IRFNA/GH2,IRFNA/RP-1,IRFNA/CH4,IRFNA/C2H6,IRFNA/ETHANOL,IRFNA/MMH,IRFNA/UDMH,IRFNA/N2H4,IRFNA/NH3,IRFNA/JP10
0.8173745173745174,338.95332352777837,,,,252.9333205468036,324.0108325096804,300.7464976515641,345.6123308272094,287.6203595357292,,343.6808079860848,,,,258.57389194340976,328.1602029880622,305.64235894267904,348.05478075310873,292.69550051869857,,,332.5229913203308,,,,,,,285.09146861556684,177.53160639990412,,,356.3123121075308,,,,211.0053279368267,273.27573676649536,247.17684510743942,316.1940314210319,226.09264436781814,,,335.517789676856,,,,210.8300843810316,254.81242222319807,239.7217851062244,300.9342118981562,201.3554608861067,,,,,286.4458343617078,,,,359.7913738346358,286.35275421316555,,,,272.7895728226356,,,,361.28394612350485,294.3766170629557,,,339.89052688495934,,,,,251.77714019334206,234.01002185510083,299.23253191608114,198.77352696684775,
0.848069498069498,342.49461259731413,,,,258.6150791386391,326.76618358840585,304.7770096544322,345.358481049305,291.8876175817589,,347.257306514902,,,,264.2610415103106,330.8617819422539,309.6510731588916,347.7314192198079,296.946621541731,,,332.5841922842956,,,,,244.75989350520928,,286.3509740564423,180.62314952888866,,,357.2525742142919,,,,212.23378927032425,276.27667193846594,248.85944400397568,317.50233039467884,230.61047852054608,,,336.6650134502957,,,,211.87686874494383,257.1415241258758,240.5228541920192,302.3286966463647,205.575377075129,,337.2508732709003,,,290.1350092769244,,,,361.46002632846006,291.10623280704056,,,,276.02399258405393,,,,362.55350297793865,299.0290584944794,,,340.66981688771494,,,,203.6287585503152,254.39500241237855,234.71004707577526,300.53146991989587,203.12987742058314,
0.8787644787644788,345.8675543130841,,,,263.9872651330263,329.27817493580335,308.5345882401035,344.8210347768726,295.8905727037949,,350.6748959655565,,,,269.620207402249,333.2993847539669,313.37851107866777,347.1528825055581,300.9301075480267,,,332.6138060725776,,,,,245.1853944224749,,287.5544342441713,183.81224945057895,,,358.1771079540265,,,,213.49141389116434,279.126896207655,250.99186406320715,318.7023983429886,234.88932478777588,,,337.7628668764196,,,,212.90575324772055,259.54820625145896,241.37658120280804,303.6469379922032,209.69192276395245,,340.62836874404985,,,293.68939402749317,,,,363.0100618300473,295.6190652561864,,,,279.24508249872065,,335.22594258694386,,363.6674434050615,303.4331924709511,,,341.37966788609003,,,,204.53257097828583,256.9922602904799,235.50392078545718,301.7574308228272,207.34475222554187,
0.9094594594594595,349.093696875834,,,,269.04583408435053,331.5339819392031,312.05055407944775,344.0358737669211,299.636371709057,,353.93846518457934,,,,274.6497367009102,335.48137757692035,316.84582877996405,346.34747326656077,304.66137225910603,,,332.61575740262265,,,,,245.6832493422125,,288.69573299925366,187.0932364443679,,,359.0908488301107,,,,214.8131909246135,281.8336167493893,253.60422857269577,319.79697294998334,238.9383273658474,,,338.8192093098022,,,,213.91417203967427,261.95779783213834,242.30909360421958,304.90211698135937,213.66765897432472,,343.86351411566943,,,297.1196806254424,,,,364.4409769249725,299.90804017223314,,,,282.4436183617093,281.32429482571257,338.1796070522723,,364.64723385844604,307.5999815389614,,,342.0328504024393,,,,205.43198951876872,259.52522003415794,236.42169114347857,302.9137711325258,211.38341817543645,
0.9401544401544402,352.1826803959631,,,,273.8067509665098,333.5714324614862,315.3160109215493,343.0338546833082,303.157211912413,,357.0517932163937,,,,279.3764966294666,337.41601198414094,320.06317031971736,345.3356825789702,308.14410003651636,,,332.6064915986053,,,,,246.28041741778387,,289.79573116903555,190.42203101798117,,,359.99642605458,,,,216.21843220644598,284.4000802277477,256.5653056323569,320.7776438605275,242.77359987614338,,,339.83631378369995,,,,214.91307231916707,264.31986277635974,243.3268460937122,306.0977967870927,217.48235981040486,,346.9656772911863,,281.95322600701815,300.41343571219113,,,,365.77445848081516,303.98299029722034,,,,285.6032945740035,285.0783184105069,340.9861477357131,,365.491173827438,311.55770000196213,,,342.64969675481444,,,,206.3325525941026,261.9636275860239,237.50887401725237,304.00348995689785,215.24126035851845,
0.9708494208494209,355.1432394961907,,,,278.2872164805015,335.36727490883777,318.34975852086916,341.8489824215326,306.4462107064137,,360.04669478163765,,,,283.81790347908833,339.12241095382115,323.0396391289308,344.1710815855701,311.38691822308834,,,332.5888240753244,,,,,247.00260863058398,,290.84795143422804,193.7645797291816,,,360.88874663732383,,,,217.75576388107433,286.8381182205401,259.68528480990517,321.65482538036105,246.410264677758,,,340.80524135163523,,,,215.9003582633137,266.61398870624004,244.46329178802694,307.2278095142937,221.13082943083734,,349.9376944282703,,285.3127626423064,303.5692100481761,,,,367.0197852803369,307.87122956715285,,,,288.70079575605905,,343.6286184803145,,366.2192284445492,315.29840746286084,,,343.2415422402002,,,,207.23377028292504,264.30070878366564,238.79141513443062,305.0203837752636,218.9234787213415,
1.0015444015444015,357.9717387105686,,,,282.5029923559372,336.93722739647,321.15002977488786,340.51556010390135,309.5109279744508,,362.90797051762615,,,,287.98026756980306,340.597065992372,325.773473242511,342.8745398565124,314.41675667917235,,,332.579714100385,,,,,247.8959092953757,,291.8456030494923,197.07496744427584,,310.225244232911,361.7733575490094,,,,219.48832231726752,289.1591472736898,262.7954111810069,322.41852612819156,249.87016909818948,,,341.7500066362007,,,,216.88045075001693,268.82955288151834,245.73917276233288,308.3140834033029,224.62208281580996,,352.792947488059,,288.6386231110262,,,,,368.1734687039488,311.5641787707655,,,,291.7259148474697,,346.1131536171839,,366.83951174506944,318.8418664699476,,,343.810913295225,,,,208.1425698472749,266.5450952879051,240.32245795946986,305.97499475608925,222.42263164062354,
1.0322393822393823,360.68682161718027,,,,286.45901355800805,338.2988417085226,323.7240603325146,339.0760183945357,312.36744895381867,,365.654472195349,,246.04031007294492,,291.8856128149891,341.8486704141897,328.2723834604184,341.4747320621693,317.20938380970034,,,332.5728573307474,,,,,248.98234246534167,,292.79997207114695,200.32700829194115,,311.95111492479606,362.6551951919197,,,,221.5007536071394,291.3649536260263,265.81894272424165,323.0775922796724,253.15438157065773,,,342.65586005251805,,,,217.8656544058072,270.9592949986392,247.18254328148325,309.341003655288,227.9547118715417,,355.5327711334938,,291.92422274202113,,,,,369.26683425279094,315.08114101633345,,,,294.67879893873857,,348.4691887948189,,367.348114069756,322.18656847678466,,,344.37477321217165,,,,209.07390409015028,268.6831981679526,242.1314130430698,306.86982575292365,225.76136976965722,
1.062934362934363,363.30097901597406,,244.16728573007472,,290.1670462321214,339.4483750584897,326.098833858257,337.5380296819377,315.0096697412534,,368.2988153937992,,247.1661745205774,,295.54332992687057,342.8853287248253,330.55407454985567,340.0069306952948,319.78561602587115,,,332.5823763846251,,,,,250.27912763352555,,293.71769766118274,203.49148444825363,,313.51090160416237,363.5271624426131,,,,223.89122874634344,293.452074803353,268.7272504807209,323.62018828038754,256.27841851997977,,,343.5300137716736,,,,218.86205836639658,272.9997006868377,248.80604701573787,310.31948582731866,231.136051523679,,358.1693756031543,,295.155619071253,,,,,370.28301611375696,318.4304744662532,,,,297.54470124507367,,350.6829377984548,,367.76374868510646,325.35519102504577,,,344.9257704097375,,,,210.0381840847774,270.72768711809897,244.19246200020993,307.7064260101312,228.9421067362453,
1.0936293436293436,365.8085654347664,,245.23374234813093,245.85107961512233,293.6533956602286,340.3925025698011,328.25074281007505,335.9561075277719,317.43789588088725,,370.83523758178507,,248.2948754990314,249.3845842530999,298.95344552559675,343.72640423170805,332.615752210413,338.48157486747687,322.1341743146472,,,332.6051804295523,,,,,251.75284391279297,,294.5960922025256,206.55448387237058,,314.94548037115817,364.38195945576103,,,,226.70649313522898,295.44399353932937,271.50915400044977,324.0533343018286,259.25692056529647,,,344.3684704394188,,,,219.86282970693097,274.9576352057351,250.6088248409478,311.25251906976087,234.17413898848204,,360.70288407880685,,298.3119557775663,,,,,371.23980553646754,321.6195882550821,,,,300.32897115201985,,352.77353286421993,,368.09330313409146,328.3494505498286,,,345.4775605904182,,,,211.04193388050203,272.69175095555136,246.44992400669736,308.4764494027001,231.9815944943745,
