O/F,LOX/LH2,LOX/RP-1,LOX/CH4,LOX/C2H6,LOX/ETHANOL,LOX/MMH,LOX/UDMH,LOX/N2H4,LOX/NH3,LOX/JP10,GOX/LH2,GOX/RP-1,GOX/CH4,GOX/C2H6,GOX/ETHANOL,GOX/MMH,GOX/UDMH,GOX/N2H4,GOX/NH3,GOX/JP10,N2O/LH2,N2O/GH2,N2O/RP-1,N2O/CH4,N2O/C2H6,N2O/ETHANOL,N2O/MMH,N2O/UDMH,N2O/N2H4,N2O/NH3,N2O/JP10,N2O4/LH2,N2O4/GH2,N2O4/RP-1,N2O4/CH4,N2O4/C2H6,N2O4/ETHANOL,N2O4/MMH,N2O4/UDMH,N2O4/N2H4,N2O4/NH3,N2O4/JP10,H2O2/LH2,H2O2/GH2,H2O2/RP-1,H2O2/CH4,H2O2/C2H6,H2O2/ETHANOL,H2O2/MMH,H2O2/UDMH,H2O2/N2H4,H2O2/NH3,H2O2/JP10,F2/LH2,F2/RP-1,F2/CH4,F2/C2H6,F2/ETHANOL,F2/MMH,F2/UDMH,F2/N2H4,F2/NH3,F2/JP10,OF2/LH2,OF2/RP-1,OF2/CH4,OF2/C2H6,OF2/ETHANOL,OF2/MMH,OF2/UDMH,OF2/N2H4,OF2/NH3,OF2/JP10,IRFNA/LH2,IRFNA/GH2,IRFNA/RP-1,IRFNA/CH4,IRFNA/C2H6,IRFNA/ETHANOL,IRFNA/MMH,IRFNA/UDMH,IRFNA/N2H4,IRFNA/NH3,IRFNA/JP10
5.728571428571429,424.56163607855825,283.67935465351377,302.26931106495607,294.5892939073501,246.00958568339908,243.17215920129598,257.8827445884397,202.92012621954902,205.86938717114117,279.84491043792235,428.09483886870885,287.8173241420145,306.19210645505194,298.57944592284184,254.01509916110575,251.816151765995,264.7814238112949,215.70325251904694,218.46659317365575,284.05396873425553,331.3335377174798,347.52016616459434,285.98408720392905,279.52190880110203,284.2373443765991,282.486235020983,286.371781518485,292.00179792301395,264.62639216151274,267.49650607007504,286.40877074340955,380.8549417772787,393.05657699785957,285.80256643757184,303.08655842324674,296.1990180635028,250.70382626465863,248.72570885937145,262.8835031678406,210.00965424992265,212.87398253011364,282.08045328544966,357.0924855048784,371.4986526959136,310.1746109010145,307.50911218816407,310.51591118486823,291.29600285353666,290.34854098061646,301.4059124768887,261.4429766200765,263.82844962944716,309.5215457429974,445.8739708959242,309.5199202481082,348.4926888515222,333.8430209162827,303.56629261945886,309.84322679527634,312.3866152449342,250.09904648000173,304.07974628499295,300.328394441459,447.457296080265,332.6313947608088,367.92680869783203,359.0224065814904,307.6623865126167,310.9380976161771,318.61267916991324,286.9768849569574,321.69356701244897,319.0112800712295,354.3676487864994,368.6349706029381,283.94585527235233,297.20308511575354,293.20681264669406,240.072145934148,236.73132266307397,254.2467445767528,191.77527952815433,194.97719169652663,280.384790499543
5.759266409266409,424.2214158795041,283.3345892025797,301.87635526370497,294.2213249033016,245.5699240178118,242.6986608532151,257.4459257255883,202.46482815149042,205.40492410625257,279.52243269140257,427.73652840745353,287.50348299698055,305.8177249846436,298.2307055057237,253.62849309590834,251.4019701149223,264.39067310343535,215.29674959584588,218.05286442061762,283.7430781691563,331.4339001788094,347.5421903244051,286.17676076019774,279.8509219113416,284.49781755298665,282.3316905898288,286.13473080124214,291.81592555927,264.36386345468856,267.2186333670746,286.5618304021512,380.8735260100887,392.9851186368621,285.5057089529727,302.78327725420843,295.8876613476281,250.2850664866042,248.27637823828118,262.46095621391186,209.57734603405822,212.43520513725687,281.79177551511845,357.17853147267846,371.49323594797926,310.27015680490143,307.7541748145543,310.6910889808441,290.9949950667229,290.0166333504062,301.09011082974024,261.16478324593686,263.5314672592286,309.55774247426905,445.8355098793426,309.2963151557298,348.3578457395937,333.65719076824297,303.2987125655224,309.524551789913,312.07965653502066,249.1545443122141,302.9018326145448,300.1493784752937,447.33811615501435,332.09652284159506,367.68698091913416,358.66898618031325,307.1786990593233,310.3622673766135,318.0709430449003,286.1875854955015,321.1307321331907,318.5347539450756,354.42877935408535,368.61952149764323,283.641357368837,297.12806874718797,292.96224157200515,239.55212989622257,236.19902630731585,253.72787397713145,191.2715305043062,194.46934999916897,280.0740081451131
5.789961389961389,423.87798504715926,283.0010456988155,301.47459241154456,293.8549342781778,245.13164330341786,242.23576394013867,257.01052872710176,202.01220581882936,204.94693032286335,279.20108299066453,427.3753133689517,287.19103319306873,305.4344875040527,297.8731977366203,253.24317548153263,250.98957753671337,264.00139078413247,214.89270482848994,217.64168865196297,283.4434643371207,331.5390202007219,347.557265082293,286.3743930453962,280.17024669726914,284.76402339762257,282.1658925074024,285.89834429893347,291.6293801743296,264.1127365357729,266.9523905657062,286.70902935993934,380.88976697354417,392.9119742998203,285.19928075582146,302.4786843502441,295.57634927448015,249.8676824502959,247.82903899594982,262.039767603236,209.14764981138288,211.9991183250531,281.5036351154252,357.25030135772516,371.50052691550843,310.3488946144064,307.99522149950286,310.8726829321528,290.69484674627716,289.6865015742534,300.7750708479623,260.8793838902866,263.2459268983378,309.58767603672027,445.79503825393385,309.06782520816046,348.20818541180716,333.46846802277815,303.0323759912156,309.21504420321503,311.77727765286147,248.2317761320751,301.73445990490865,299.9830021211727,447.20877949017563,331.57150067635996,367.4593945025357,358.3001442258734,306.69736131509774,309.78829746073205,317.53150606783595,285.39881561139293,320.56345022172184,318.06913861798336,354.4883101866433,368.6031720314136,283.33472281757463,297.039797762819,292.7116069256844,239.04273508496732,235.66092537782018,253.2019431541595,190.77067142193485,193.96444060901285,279.76167574254885
5.82065637065637,423.5462622724743,282.6687403747315,301.0851188725312,293.4798181880799,244.69474317386224,241.77478939953372,256.57653759348796,201.56223333335973,204.49165190063275,278.871040611679,427.01125842098253,286.8698609917651,305.06379165643904,297.5278320982775,252.85914179002995,250.57896138466475,263.62291777161386,214.49109703525534,217.2330423784652,283.1451053739589,331.64281411443363,347.5781434121744,286.5563538703841,280.48500321839543,285.01545861606354,282.00910275012757,285.65236596852714,291.4422228095662,263.8538807680094,266.67854060150074,286.8607485381145,380.90440405920685,392.830145243449,284.9034436763968,302.17290163626683,295.2651240000866,249.45167847799678,247.38368331288194,261.61992773466835,208.72054253851667,211.5656964337793,281.20609443783195,357.33358481390536,371.5071591192742,310.42157266146296,308.23229257274875,311.0498837446626,290.4056476907769,289.36823285681237,300.4712740868482,260.59599971843437,262.9531990985478,309.6113981737881,445.7443400578934,308.8402078451681,348.05652545666493,333.2768435249651,302.77288259762486,308.9028107501703,311.4793546431649,247.32584589351566,300.5662019995457,299.8183405798267,447.0775130393988,331.05009686687913,367.21670282257935,357.9360369190636,306.2126384351587,309.21620741926097,317.00034944740395,284.61064644759625,319.99195986548295,317.6023576839346,354.5526594013237,368.58593108092316,283.0161606948728,296.93859123038163,292.4654480206208,238.52709464803388,235.133811774613,252.68686834661654,190.27267221947636,193.4589137228023,279.44785656155807
5.851351351351351,423.1965754107249,282.327738973462,300.6973484256905,293.11654195636424,244.2592254772383,241.31572702298095,256.1439456436228,201.11488749549423,204.03906389615844,278.55190598761504,426.6593984463099,286.56015266510263,304.6842258583351,297.18411802412265,252.4763847892984,250.17903098644962,263.2365214630286,214.09190274183126,216.8268998595028,282.8479839692527,331.73920592038723,347.59209158832095,286.7329812050418,280.800328937142,285.2727309461512,281.85130220577935,285.41736740898455,291.25451163565947,263.606367586998,266.4066702161856,286.99633922624656,380.9159944015712,392.74666482568983,284.60812078104266,301.86604358502086,294.95402478945635,249.02823596198348,246.94030119425048,261.2014397290979,208.2959942544591,211.13491228015033,280.9190463193532,357.4155169367282,371.49981653980507,310.498948184826,308.47619821704376,311.22269079842243,290.10728876906853,289.0416089223561,300.1682796924511,260.32381874317116,262.6718432671119,309.628963553504,445.6917557440849,308.6192041980254,347.90289462866133,333.08231438269087,302.5144297264949,308.59353618613017,311.18576453595534,246.4366614107751,299.4085227035503,299.65539766111675,446.94438422566753,330.526095166659,366.9794503493175,357.56997922941525,305.7360394000166,308.6518239461027,316.4714818119248,283.82314075795483,319.41050303131215,317.14034614477947,354.6154568753284,368.56780734893135,282.7055636267552,296.8248036036232,292.2036229413528,238.02203737850616,234.60925618977032,252.17368955023647,189.77750550634804,192.95627537122712,279.1326105625805
5.882046332046332,422.8438499980278,281.9978687470693,300.30075843769157,292.7445234880054,243.82508929938882,240.8585695490064,255.71274628635865,200.67378720134894,203.58913926514333,278.2338451837794,426.28984079269304,286.2517817915371,304.3171448233391,296.84203675332174,252.09490040209698,249.77191920200283,262.8515493248151,213.69510128474053,216.4232382537304,282.5421334931907,331.83430977566405,347.605484607407,286.9146369307152,281.1112133558141,285.52559875282526,281.6925648053757,285.18307897309637,291.066302086369,263.351102165959,266.14634213011186,287.1261830588332,380.92530033048047,392.6685576801373,284.3133173839279,301.55821766655674,294.64308823288366,248.6150105383246,246.49888266467184,260.7842931267966,207.87398269326283,210.70673905192461,280.6325318860021,357.483236920213,371.50519806048555,310.5594796481228,308.70543658011945,311.3911003122926,289.8098658032804,288.7165096074509,299.85569707214097,260.04439170506515,262.3832731074601,309.6404368479291,445.6373447078331,308.399282317101,347.7600910488869,332.8848762786595,302.25091930566396,308.29289068958974,310.8963772909676,245.5640954624725,298.2500702495373,299.4941688525982,446.80943816040394,330.0181561973033,366.74081825104514,357.1953140393843,305.2618199331337,308.0835089213858,315.93895105600717,283.04172658702805,318.82530567214246,316.68900584839184,354.6767214410361,368.53559595925236,282.3931179025925,296.6988132203148,291.9366527078715,237.51075603727026,234.07890082959995,251.66240897617809,189.28514255874921,192.46000091539014,278.8063404621164
